PC1	PC2	VOC
2.61470913563991e-05	-0.000684894357267157	alpha-Methylstyrene
0.000128970977097908	1.49511136744007e-05	3-Methyl-2(5H)-furanone  
0.00359573743747664	0.00065665976324217	2,3-Octanedione
-0.00416895242994735	0.00101436631420847	2-Ethyl-5-methylpyrazine 
0.00142375665783734	0.000753210246078042	6-Methyl-5-heptene-2-one
0.00279194163293518	0.00116783948307444	Phenol 
0.00366125762129616	-0.00104701777928803	4,6-Dimethyl-2-heptanone
0.00394131102446809	0.00308656460819115	2-Octanone 
0.00168068000884867	0.000157117433047889	2-Pentylfuran
0.000223883625829809	-0.00048245488449554	1,2,4-Trimethylbenzene
-0.000890833703101719	0.000684301676248167	450
-0.000250612249777983	0.000165829402874955	2-Furanmethanol, acetate
-0.000909861673759545	0.00276363388735425	2,4,6-Trimethylpyridine
-0.000309198023078821	-0.000914265245685824	2-Ethyl-4-methylpentanol
-0.000831162097108222	-0.000298452587669541	Decane
-0.00086310593099147	0.00244980269188617	Octanal
7.60958357015475	-0.609103485097674	Trimethylpyrazine
0.0166883554643638	0.00250289572391148	315
-0.00072439523724353	0.000392690849962856	516
-0.00156491876443592	0.000392796217156674	3Z-Hexenyl acetate
2.86648418147946e-05	-0.000219215852545454	1,4-Dichlorobenzene
0.000554580156262555	-0.000105580948694331	Hexyl acetate
0.00938689095922192	-0.000131388539611817	522
-0.0027400535108849	0.00129627772771793	517
-0.000109797968673501	0.000271120049456169	4-Cyanocyclohexene
0.00153263470222453	0.000440792242506399	523
6.40009305536754e-05	-2.72096638557515e-05	1,2,3-Trimethylbenzene
0.00225887573185471	-0.00227815248237393	p-Cymene
0.000509261247054518	0.00358265963079476	518
0.000515968605056257	-0.000961541771093387	Limonene
0.000976676324941683	-0.00181808088931393	2-Ethyl-1-hexanol
-2.81899783272234e-05	-5.50727748706643e-05	Eucalyptol
-0.000259223286527293	-0.000225399694039839	Benzyl Alcohol
0.000677299632142266	0.000789760818868007	3,3,5-Trimethylcyclohexanone
-0.000134687967168652	0.000249985199168713	Salicylaldehyde
0.000408566584796105	-0.000690145579102945	5-Ethyl-2(5H)-furanone
-8.97328946392989e-05	-0.000109531996476828	Benzeneacetaldehyde
-0.0019502562422042	0.000817724952604227	2-Cyclohepten-1-one
0.00195707155886636	-0.000207977668494425	470
0.00254380241901461	-0.00082980700376333	65
0.000600311221280493	-7.18074867511632e-05	gamma-Hexalactone
0.000191486396737217	-0.000454876717482104	2E-Octenal
0.00493850192256829	0.00192031955332565	4-Methyldecane
0.00180766625829101	0.00246404664510813	9
0.000656604221138122	0.000322106925781123	2-Methyldecane
-0.00279156993214619	-0.00334547431278791	Acetophenone
0.000569634484589533	0.000136767949744624	2Z-Octen-1-ol
0.00143386677704046	-5.85508818361578e-05	2E-Octen-1-ol
0.00235872353454902	0.000149079601376996	(3E,5E)-3,5-Octadien-2-one
0.0015773075609076	0.00179252717534428	p-Cresol
0.00136983777155104	-0.000209535823379745	1-Octanol
0.000876269466358785	0.000588970002947176	76
0.0394196683434562	-0.00375517109563335	553
0.011712190716493	-0.0101541108267744	2-Ethyl-3,5-dimethylpyrazine
0.0019207909892682	0.000902099747151605	536
0.00423392517935155	0.000395298787440897	537
-0.185812716415962	-0.209065860884906	2,6-Diethylpyrazine 
-0.0116735689419788	-0.0115685336490617	alpha,alpha-Dimethylbenzenemethanol
13.9689193170076	-1.15728717263225	Tetramethylpyrazine
0.000677372056876924	-5.65744916850396e-05	p-Cymenene
0.00171097475842251	0.000400613038098054	2-Methoxyphenol
0.0418249459851212	0.0371634366411297	2-Nonanone
0.00595211811365063	0.00426709265893402	3E,5Z-Octadien-2-one
0.00357453577555763	0.00678093313790606	168
0.00239818093485387	0.00104326121462894	113
0.000196036955880016	-0.000441317056010832	Undecane
0.00186042376730481	0.00103793719417023	Nonanal
0.000798852145235142	0.000272364749685263	2,6-Dimethylcyclohexanol
0.00126214905930014	0.000606470429551682	Maltol
0.000510928251738787	0.000277507018127386	Levoglucosenone
0.000334485601373777	-0.00134531167453987	Phenylethyl Alcohol
-0.0283120393672277	-0.00466355438378932	Methyl methylthiomethyl disulfide
-3.4795331358391	-6.26629441363114	Benzyl methyl ketone
-0.0265211891393778	-0.01233225603481	alpha-Methylbenzeneethanol
-0.000145034944098478	-0.000245598240862309	Benzyl nitrile
0.0182955221692218	-0.00191585663318331	N,4-Dimethylbenzenamine
0.00023404050648619	1.52833494859533e-05	Camphor
-0.000155728937531416	0.000160001368668078	Sabina Ketone
-0.00336179044423998	0.00869681674087498	2,4,6-Cycloheptatrien-1-one
0.208236273122192	-0.0198886666657638	2,3,5-Trimethyl-6-ethylpyrazine 
-0.00216699947851629	0.00751341418561952	550
0.000149386070282882	0.00028697609480232	2,6-Dimethyl-3,7-Octadiene-2,6-diol
-0.00532578771819471	-0.00982301698612679	1-Phenyl-1,2-propanedione
0.000157514664058699	0.000146495193097145	383
0.000379084921005831	8.81786997074786e-05	79
0.000364323593500879	0.000161526627689139	1-Nonanol
0.000994657082197804	0.00036611463127804	Menthol
0.000500243690344968	-0.000112371477583173	69
0.000512310829043712	-7.76309326091035e-05	70
0.000434134013311997	-0.000651527074690271	Naphthalene
-0.000849371654444119	-0.000380448647722091	p-Acetyltoluene
0.000798852958348295	0.000466382601999784	2-Decanone
