Compund	900_1	900_2	900_3	900_4	900_5	738_1	738_2	738_3	738_4	738_5	962_1	962_2	962_3	962_4	962_5	862_1	862_2	862_3	862_4	862_5	876_1	876_2	876_3	876_4	876_5	BHB_1	BHB_2	BHB_3	BHB_4	BHB_5	947_1	947_2	947_3	947_4	947_5	341_1	341_2	341_3	341_4	341_5	908_1	908_2	908_3	908_4	908_5
Eucalyptol	1756.5	1744.3	1705.5	1444.7	2167.1	1772.9	1602.8	1542.2	1927.1	1544.3	1606.5	1606.7	1824.6	1821.7	1661.6	1877	2274.7	2711.3	1777.5	1788.1	1674.2	1267.1	1861.3	1961.7	1709.7	2137.9	1958.4	2416.5	2330.5	2470.5	2062.7	1982.4	2452.4	2345	2920.9	1986.2	2796.6	2125.5	2079.8	2160	2050.8	2154.8	1831.4	2504.2	2312.3
Benzyl Alcohol																	1639.3		3730	1595.2											1303.5		2735.7	1887.4	1014.5	2002.8		1019.2		1447.3	1007.7		2479.4	2782.4	2881.5
3,3,5-Trimethylcyclohexanone	3900.8	3992.4	4852.6	4922.5	4210.5	3978.2	7916.5	5218.3	5844.6	4876.2	6069.1	2265.3	6534	2330.2	6936	4449.3	4787.6	4956	3812.1	4040.7	4801.9	5138.8	4973.1	6065.2	4900.7	4189.8	4182.7	7777.2	4266.9	5232.3	5298.8	5309.3	5825.2	4963.8	4029.7	5344.1	4511.5		4797.5	2048.5					
Salicylaldehyde	1015.7		1520.1	1299.9	1275.8							1998.8		1078.5	2449.5											1441.7			2668	1055.9															
Benzeneacetaldehyde	1997	1441.1		1850.7	2472.2																																								
470	16951.6	15421	16223	14165.9	10775.7	9729.1	15658.5	12343.8	11160.5	13951.7	8479.1	6529.8	11122.9	10047.1	12522	8633.1	8079.1	12499.7	8036.5	11478.8	14089.2	14068.2	15301.2	12472.3	17763.1	10846.7	11502.7	16438	10289.6	11262.4	14049	8022.6	9581	6836.2	10656.6	8814.3	10280.1	12633.1	6945.6	9518.1	6112.1	8680.4	11132.3	12774.2	9649.6
gamma-Hexalactone	3974.4	3537.2		3182.4	2469.3	2351.6	3881.9	2668.6	2813.8	3088.7		2023		2546.1	2957.5	1948.3	2045.2	2247.5		2969.6	3349.9	3434.8	3390.2	3559.8	3805.7	2590.2	2688.1		1869.8	1875.3	3802.9	2063.2	2249.7	1472.9	2619.6	1997.2	2027.5	3040.1	1756.7	2183.6		1832.1	2344.2	3177.1	2600.9
2-Cyclohepten-1-one	2566.2	3849.2	6306.3	3929.4	3537.3	4428.4	5970.9	7327.6	9691.4	7485.4	4237.9	5312.5	5400.2	6794.1	5955.7	5102	7885.1	5942.7	7103.6	8773.5	1375.1		1688.2		1375.1	9849.1	8644.4	15890.5	11184.1	9818.9	5447.2	5017.3	5523	6897.4	5518.9	12427.4	8756.1	10520	9044.6	11359.4	6776.8	4561.7	3953.4	7023.3	5000.4
65																					7198.1	7692.9	7939.5	7032.6	8416.3	1049.2	1343.5		1372.7		5641.6	4643.2	4899.7	5380.3	5802.6	3858.8	4327.8	5019.4	2653.7	4377.3					
2E-Octenal	9434.1	8245.1	10544.6	10474.7	8003.8	2212.8	2635.4	2901.7	3411.1	3452.7	2616	2861.5	2567.7	2910.2	4050.5	3238.1	2872.6	3204.1	2860.9	3850.2	3590.4	4381.3	4648.5	4490.6	4632.4	4204.5	3270.6		4177.7	3191.1	2595.5	2652.8	2710.7	2945.7	2715.7	2880.3	3390.5	4000.2	3990.5	3780.4	2607.6	3425.8	3370.8	5141.6	5265.4
4-Methyldecane	5660.3	5470.3	5572.4	5776.3	4668.6	14336.5	15539.6	14487.3	15657.6	15258.1	18421.4	19452.6	21473	22701.4	22105.7	25308.2	27555.8	25121.9	19873.5	25104	25468	26127.9	26173.3	25876.5	28710	15097.1	13283.1		11995.4	15136	24497.7	23808.1	21535.9	23772.8	22705.3	12794.7	13379.1	16470.1	12748.2	15204.7	13869.7	16064.1	13964.6	17160.4	14072.5
9	5357.2	6407.1	11772.7	6879.4	4829.5	3928.1	4730.7	6064.8	6265.3	4568.5	3505	3267.9	5020.6	6007.2	11462.2	5007.8	7687.1	8584.1	8075	10950.2	7512.3	8454.4	6807.4	13133.2	8483.5	9507	10896.3		10914.8	8068	4534.6	2971.9	3213.7	2365.4	3891.1	1736.5	3610.9	3459.5	2622.6	3080.3					
2-Methyldecane	4654.1	4220.8	5937.3	4478.89	4526.4	3872.4	4156.7	3786.1	4718.7	4359.6	4619.2	4997	5581.1	5436.1	5401.1	5512.7	6393.8	6563.7	5338.2	5740.3	5263.5	6475.8	5493.8	5110.8	6569.2	4436.6	3768.6		3522.6	4133.1	5613.9	5488.0	5365.1	5755.6	5005.7	3669.2	3744.7	4073.5	3560.4	3767.6	3799.9	3798.1	4277.5	4169.4	3408.8
Acetophenone	82182.8	79703.5	75676.7	77664.4	82922.6	59639.4	65586.6	59047.2	59430.7	61646.7	58206.9	41636.4	61859.1	48155	55489.9	60467.2	68916.2	70305.1	62004.4	63489.3	52512.9	59485.5	52237.3	58412.9	53182.2	59173.2	60970.4	71125.8	124806.8	63119.6	84330	80982.6	90370.5	87616.3	92719	59487.2	58641.0	61202	51210.7	61188.3	64244.8	76844.1	72446.8	82218.5	71380.1
2Z-Octen-1-ol			2436.5	1336.1	1693.4		2150.6	2427.1	2260.7	2298	2633.9		1461.7	2714.3			3292.4	2478	2453.1	2225.6		4019.5	4354.8	4214.1	4478.7		1203.7		5527.6	3984.3			3885.5	5629.4	2272.7			3262.6	2920.4	2778.5			3499.9	4527.4	2870.6
2-Acetylpyrrole																					3039.5	2014.2	2473.3	2430.5	1789.4																				
(3E,5E)-3,5-Octadien-2-one	7777.6	7268.7	9420.4	8338	8111.1	3709.7	3495.4	3114.5	4300.7	4120	4698	3402.3	5149.7	4689.7	3912.3	6631.7	7933.3	7334.4	8180	8606.3	10546.8	10790.5	11804.3	13465.4	10163.4	7304.7	5520.8		9258.1	6966.5	8401.8	7676.1	8139.4	7942.7	7013	4877.3	6237.0	6667.4	5758.7	6159.2	4267.8	4402.5	4460.7	4345.2	3714
2E-Octen-1-ol																						4951.1	5090	4698.6	5384.3																				
1-Octanol	2184.8	2068.3	5185.6	3321.5	2777.2	1766.8	2960.6	2959.4	3230.7	2397.2	2511.9	1726.5	2060.7	2165.7	2341.1	3247.1	3198.2	3088.1	2767.5	2391	8114.9	5548.9	5211.6	5245	4535	2838	2539.8	6530.8	4113.1	2812.8	3448.6	2547.3	3481.2	3821.9	3244	2809	2530.1	3041.7	2836.6	3048.8	1892.8	2385.5	3067.6	3291.1	3237.1
76	3442.3	3576	3680	4146.1	5144	3177.6	3756	3461.4	4644.3	3672.2	2561.6	1766.6	3635.6	3941.5	2912.9	4401.8	4339.9	6403.8	4939.2	4187.4		6892.6	3756.4	13158.8	5042.1	5261.4	3317.1	10272.8	4675	5754.5						4140.4	4438.0	4889.4	3879.3	4376.5	2009.4	2739.9	2056.1	3713.7	4628.1
553																					137884.6	93762.3	66705.2	92567.4	91312	5131.4	3840.4	6002	4136.7	3819.3															
p-Cresol						18351.3	24678.3	26360.9	30849.1	18019.9											4990.4	6923.1	6746.7	10156.8	7347.6	4873.5	2502.7	30801.4	8908.7	8253.6															
536	12641.9	12251.3	11428	14138.4	11052.5	9573.9	10269.3	10581.5	11688.7	12334.2	12676	12726	14171.7	15149.7	14874.4	14883.6	16639.2	18882.6	15209.8	14958.9	15978.9	15816.9	15957.1	13722	13819.2	11345	9256.2	11009.9	8473.8	10364.5	12512.1	12709.0	13071.1	12047.6	13963.4	9146.9	9175.8	9521.8	8514.7	9117.3	10125.2	10314.7	9756.2	11896.2	10175.5
2-Ethyl-3,5-dimethylpyrazine	42281	30357.9	31004.7	23297	26514.6	28816	44707.6	30175.1	20059.8	32824.1						10261.8	6487.0	16595	7001.8	8891.2	45563.2	62552.1	59296.4	82139.3	63700.8	46848.8	41460.5	78980.7	69189.8	73769	61493.4	44593.6	78974.6	59846.3	70599	25110.2	28731.0	25932.2	20481.1	19398.9	29584.5	34345.9	122025.3	35937.8	47209.6
537	13278.4	11454.9		11651.4	11547.4	8952.2	9089.4	10500.6	10429.4	10636.6	8991.6	9138.7	10105.6	9937.2	9800.3	14104.1	13814.5	16741.1	13464.6	13159.9	20919.8	19592.4	19460.9	18436.5	18522.2	9783.8	9413.8	10630.2	9521.1	10017.1	10283.9	11085.2	11345.4	11049.9	11885.2	8105.8	9367.4	10602.6	6982.1	7843.4	9013.2	9936.7	9325.5	11584.6	8602.3
2,6-Diethylpyrazine 	482443.7	348624.8	327855.3	268129.9	290038.2	454249.9	653003.9	488564.5	459335.4	519461.3	2682.9		2165.8	3417.2	1624.1	67876.1	39644.4	83147.2	49271.5	58587.8	36026.4	48439.0	48439	41187.4	54108.7	632199.8	570897.5	811238.8	943006.6	965318.5	1058594.9	818412.6	1359866.3	1127879	933563.5	558196	598068.5	540470.5	454069.3	425023	708295.1	764619.1	1790926	797676.3	1095805.2
alpha,alpha-Dimethylbenzenemethanol	29423.1	20971.2	17519.6	15488.6	17135.5	26806.4	36059.5	25633.8	27598	30735.2						3221.1	1908.7	3200.4	2155	3576.9						38374	33067.1	47311.9	56450.8	58142.4	60688.9	47720.2	77655.1	63597.2	54362.6	31386.36	34884.8	32654	26637.3	24603.2	38982.6	42604.6	101185.8	46061.7	60777.4
Tetramethylpyrazine																520949.9	14207.9	1516371.4	16130.2	6225.4	30079737.1	32869723.3	35028493.4	47899748.8	32554311.7																				
p-Cymenene																					1316.9	1471.0	2094	1869.8	1944.4																				
2-Methoxyphenol	1146.6	1094.2	2024.9	1263.6	1482						1142.6		1807.3	1203.3	1129	3489.2	3019.4	4604.4	3769	3881.2	4851	5136.2	5181.5	5543	4549.9						1732.6	2298.5	1902.7		2033.4										
2-Nonanone	11408.7	12190.1	10443.9	13094.4	12941.4	24297.4	21673	21292	19431.4	21886.8	9399	2047.5	10471.9	4500	3126.9	200888.3	243806.6	226046.8	208027.5	228693.3	130979.5	131242.3	132829	123630.4	132411.9	9643.8	8843.7		12319.4	9049.7	32467.8	25933.3	27166.1	31418.3	37232.7	13081.5	15164.2	15469.9	12877.9	14801.5	2240.4	3117.9	2613.2	2228.3	2055.3
3E,5Z-Octadien-2-one	4295.2	2691.7	4819.6	3946.6	3895.7	9244.2	6891.4	6754.4	7750.4	7130.1						24119.1	30535.4	29723.2	27724.6	31070	25985.2	25805.9	23554.2		24489.9	4219.5	2500.8		6539.6	4093.4	10156.9	7770.3	8800.9	7811.4	12130.8	4597	6711.1	5750	5033.2	6098	1630.2	2947.7		1476.9	
168	12096.5	14127.9	24009.3	27376.8	18725.1	26398.1	37897.3	25454.5	39663.4	17990.4	15604.4	10687.8	30867.3	19212.7	24587.1	16683.9	21530.0	15931.8	50319.1	48231.2	22196.8	22689.4	23082.3	41992.3	26882	28926.1	19453.5		37481.1	20042.6	48937.1	24380.4	19560.2	18759.7	18527.5	25654.7	22265.0	13408.3	19017.9	18626.7					
Undecane	14231.8	11742.6	27905.3	12137.8	14171.8	8552.7	12843.3	17797	11903.9	8666.8	8828.2	6371.7	9452.3	9969.5	7928.3	9417.2	9175.0	8462.4	9958.4	9307.9	9530.9	10821.2	10891.8	10124.3	9005.4	9612.6	8650.7		10150.9	7526.7	12531	8375.5	10022.7	11845.4	10688.3	14536.9	16598.6	9663.9	9537.5	10807	6032.6	6952.0	6743.6	6299.3	6178.8
113	7460.8	9512.9		9695.7	22002.8	12759.4	17713.3	26438.6	25245.6	19535.2	22854.8	12368.2	19907.3	22113.6	15301.3	12286.8	24397.3	17651.8	29316.8	21536.4	15115.8	16017.0	26029.6	31024.9	33443.4	16600.4	11751.8		42477.5	31280	14133.7	12093.0	31321.7	41103.1	22586.4	11307.5	11925.3	24637.6	24447.1	24874.9	10379.4	12630.0	27649.5	34434.5	24477.3
Nonanal	13416.8	23642.2	12655.2	29096.3	30738.6	19790.7	31978.4	33780.7	36342.7	33141.4	38684.8	22858.2	33992.1	39349.1	27249.2	18040.4	46795.2	32514.7	40281.7	35866.6	21332.7	24806.1	41844.2	46771.5	44011.1	25257.7	21295.7	18369.8	72652.5	48222.3	25076.7	19748.0	51236.3	70369.9	39343.9	21592.2	21292.5	42179	43013.7	43694.8	16940.8	21886.7	45108.2	60008.2	42210.6
2,6-Dimethylcyclohexanol	7507	5359.6	10438.4	7929.5	10088.1	5660.8	6536.1	6509.6	6581.6	5504.2	4981.1	4166.5	7532.7	5372.8	6837.1	5663.1	8294.3	8190.5	9548.7	10171.5	7698.2	8497.1	6952.8	9815.9	8521.9	7705.6	6139.4	13302.4	10937.4	7843.1	5087.9	3591.8	6973.4	3016.9	7397.7	6887	8700.0	9883	6366.2	8928.9	4492.9	8405.5	4203.4	6879.6	6924.9
Maltol	10011.5	7891.9	12761.6	9169.8	9520.2	6015.3	11809.6	9316.3	10897.5	10390.3	8507.2	7259.2	7496.4	7730.1	8315	10272.4	9889.6	10748.5	13438.2	10278.3	8202.8	12021.2	12695.5	12661.6	15845.5	12576.4	15169.0	34565.7	13535	8851.8	8798.5	6975.0	13970.3	12180	8813.8	11274.3	9186.7	10269.7	7929.1	13105.7	9343.5	8262.7	8016.8	9723.4	5713.5
Levoglucosenone	2935.9	3708.2	4319	1321.4		1022.7	1678.6	5964.8	1591.4	1147.3	1004.7		1046	1352.9	1113.5	1400.7	1452.4		1643.5	1194.9	2253.5	2594.4	2116.9	2664.5	2381.1	2445.5	1707.7		2228.2	1023.9	4329.8	1041.7	1080.3												
Phenylethyl Alcohol																5142.6	1520.5	2584.2	3875	3146.4	4236.7	4142.3	7399.2	2534.8	2285.7	1769.7		23632.6	3124.7	2145.3						13220.1	28857.7	33444.2	26417.2	24080.9					
Methyl methylthiomethyl disulfide	67941.3	84997.3	90240.2	83304.4	77489.2	220446	287393	259375.6	233149.4	264091	53214.5	46591.6	64577.2	66007.3	78764.2	43101.2	62392.7	46791.5	44304.3	56667.4	37688.3	44768.1	35359.5	21662	65961.8	188144	160705.1	512479.8	156702.4	112184.4	100592.8	80073.3	75086.9	107709.6	60283.7	128442.4	224425.9	181632.9	197560.2	190621.1	121379.4	182971.6	79166.4	130634.4	92664.2
Benzyl methyl ketone	15796920.4	14491586	13012402.3	13100952.7	15104151.9	11897205	12193828	11411830.8	9734045.1	10030314.3	13304312	5123956.4	11903883.4	11955441.7	5538205.4	3308826.9	2861658.6	3359038	2542369.1	2926780.3	3966013.4	3395543.9	3393608.6	3177775.6	3450591.6	5621816.4	4382341.4	5195179.8	5451365.9	5034761.2	13206649.3	9926000.2	12367525.4	12471716	12187795.1	19566387.9	18797284.1	18038588	14855590.2	16810603.5	28335099.2	25028200.0	21248922.5	26987655.7	26165008.1
alpha-Methylbenzeneethanol	145871.4	147336.6	156223.1	116028.4	112272.9	59471.6	65295.6	74323.6	58192	53692	25500.6	15906.2	28603.4	28397.3	17234.9	17859.3	15778.0	18037.2	14798.1	16072.3	25799.7	25978.1	25019.4	21471.4	25314.8	285620	175080.9	113927.8	273933	172477	62830.9	35553.0	50234	37926.1	66143.3	188386.7	236487.9	238667.4	194374.5	195185.4	91506.7	118817.5	92271.3	67542.6	43305.9
Benzyl nitrile	6940.5	5329.9	8160.9	5219.9	6316.7	5718.9	5279.7	7422.4	6295.7	5014.1	4344.5	4239.8	4647.7	4543.6	4052.6	4458.5	4124.1	3881.7	4873.1	4492.1	4027.2	4300.4	4277	4622.9	4510.6	5774.3	4437.9	20893.7	5162.5	4957	5340.4	4542.3	4902.8	5530.2	4904.8	5156.3	5534.5	4591.1	4674.3	5062.6	4971.7	6397.5	4834.1	4684.7	4405
N,4-Dimethylbenzenamine																					47419.4	34930.8	71333	39995	28849.2																				
Camphor	1458	1082.1	2516.9		1350.4	2657.7	2223.4	3386.2	2768.2	2512.1			1066.4	1376.8	1024.9	1190.5	1292.0	2252	1483	2106	2168.2	1224.0	1547.2	2223.7	2913.8	1604.7	1124.8		1862.7	2128.2	1225	1307.9	1815.5	2001.2	1789.7	2044.2	1968.0	1801	1369.1	1724.7	1446	1344.1	1160.4	1731.7	2096.4
Sabina Ketone	1972	2006.8	2214.6	1945.2	2363.8											1170	1324.1	1614.1	1629.2	1629																									
2E-Nonenal																																													
2,4,6-Cycloheptatrien-1-one	15252.4	18091.1	32017.7	15065.6	15491.4	27809.6	38024	42328.7	35061.2	29921.4	28909.7	60550.8	39698.6	51628.4	87228.2	19677.5	22155.5	19551.3	24517.7	29532.3	18792	18175.5	23551.6	14479.4	23502.3	68604.6	49401.9	185824.1	83625.1	51328.4	25967.4	15235.4	21327.5	21856.2	23397.6	29148.4	32685.2	36705.1	36998.5	35418.9	15550.4	26215.5	26605.3	19880.8	21693.1
2,3,5-Trimethyl-6-ethylpyrazine 	13451	11459.5	11545.3	7243.9	10018.5	25201.5	52425.3	28869.5	29954.1	33293.1											417133.6	533107.7	549955.9	782465.6	506259.8	45754.3	39608.9	150340.5	68460.4	95068.5	11170.1	8594.4	14180.4	10895.8	7714.6	22783.4	25130.5	29679.5	19521.8	18574.6	14084.7	15635.8	117637.9	19980.5	32171.5
550	8108.1	6931.2	5285.9	7285.5	9384.4	3923.2	3581.9	2382.5	2705.4	4078.3						42206.7	41625.6	47592.3	42480	45987.9											2744.2	5630.4	4660.5	7299.2	6945.6	5812.5	6934.1	5833.3	4636.6	6983.8					
2,6-Dimethyl-3,7-Octadiene-2,6-diol		1651.3	2241.5	2005.5	2732.5		2656.9	3511.4	3383.2	3235.7	4889.1	1422.1	2555.2	4357.8	1467.5		5035.8	3609.8	4714.6	3638.5		2720.8	3985.6	5589.2	5141.1	1547.9	1762.9		9923.6	5334.8	1455.8	1309.1	5841	10228.7	3344.2		1982.3	2421.7	4143.5	4568.2		1902.0	4816	6167.5	3973.1
1-Phenyl-1,2-propanedione	10852.1	17934.8	17441.7	18411.6	16415.9	11030.6	9830	11947.5	13624.6	15808.1	9167.7	6279.5	10257	16125.4	6867.8	5239.4	3592.4	3896.3	3978.2	3893	2259.3	3890.6	6008.1	3512.7	4384.9	6745.9	4922.3	5206	30101.4	5728.8	11916.8	10433.1	36662.7	16599	16541.9	30058.4	27194.5	21482.9	15443.8	22039.1	27856.4	37528.5	46131.9	37545.2	56150.8
383		1732.1	2258.7	1937.9	2650.8		2594.3	3603.8	3235.4	1992.8	4827.8	1318.8	2649.2	2840	1415.9		5103.2	3616.5	4225	3568.5		2540.2	4112.6	5681.9	5210.8	1486.4	1797.0		10089.5	5229.7	1420.5	1239.4	6052.5	9804.1	3176.8	1388.5	2101.1	4852.1	4176.7	4474.7		1978.7	4497.6	5940.4	3888.4
79		2967.1	3575.3	3244.6	2660.7	2066.7	3237.6	4294.3	4990	2715.2	4951.4	1847.3	3335.7	4724.6	2056.3	1853.2	4998.7	5288.4	3639.2	4411.8	3057.2	3951.4	4814.8	5592.4	5170.5	2197.9	2278.4		9897.6	5916.8	2204.4	2159.2	6150.6	10530	4161.7	2611.1	3261.7	5666.2	3844.5	5692.9	1886.4	2015.3	4627	6348.3	4986.9
1-Nonanol	2032	3269.3	3233.4	3393.1	4111.7	2330.7	3307.9	5398.1	5880.8	4148.9	5145.8	2005.4	3254.9	4881	2419.7	2232.2	6478.2	4999.6	4572.9	4835	3642.3	3332.2	5588.8	5198.9	6109	2427.5	2008.6		11387.1	6645.3	2109	2505.8	5553.7	9850.2	4316	3917.2	3511.6	4833.4	3930.8	5252.2	2584.8	3004.1	5685.7	5425.9	4304.5
Menthol								3343.2	2305.3	1960.8						1923.5	1923.5	2489.5	1809.4	1728.4	3101.6		4294.1	4305.3	3327		1203.1		2040.2	2424.1						1846	1718.6	1701.2		1560.5					
Octanoic acid																																													
69	2109.5	2290.2	2596.8	2513.6	2037.1	1766.7	2532	2935.9	2349.1	2512.2	1458.7		1354.9		1138.7	1639.8	1884.4	1917.3	1941.7	1806.5	1728.3	3191.1	3552.2	3337.1	3713.5	1792.8	1447.2		2089.7	1887.6	1970.9	2168.9	2423.9	2189.7	2144.5	2159.5	2498.8	2531.5	1963.6	2509.7	1547.5	1366.7	1213.1	1686.7	1449.6
70	1133.1	1003.2	1729.2	1245	1001	1013.2	1124.5	1310.8	1512.6	1048.7								1168.4	1716	1219.5	1769.6	1744.3	1811.3	2014.6	2374.8						1190.4	1056.2	1237.5	1262.6	1223.9	1039.7	1347.4	1208.6		1059					
Naphthalene	14602.9	13898.4	13799.7	14315.3	16160.1	14599.8	15100.3	13347	14747	14946.2	14930.2	12576.3	14543.4	15728.3	12290.8	15176.5	15855.6	15240.1	14373.2	13123.1	14076.2	13476.5	14508.4	15546.8	14617.5	15403.4	13588.7		13278.7	16035.7	12318.2	13878.0	14975.3	16077.7	16015.6	16618.5	16015.8	16160.4	14648.4	16848.5	15255.5	16309.9	13284.9	16442	19317
3Z-Hexenyl butanoate							1053.8	1017.9	1553.2	1066.1						1055.7	1053.5			1414.7												2372.0	2856.2	4147.1		3610.3	1450.7	1284.3	1350.7	1726.2		1147.0	3043.9	1582.9	1071.4
p-Acetyltoluene	5674	4822.8		4251.2	6219	5090.8	4563.5	3870.8		5015.3	4821.7	3851.3	6255.9	5196.4	4014	4858.6	5108.9	7292		4832.2	2956.6	3912.0			4343.8	5146.1	4007.0	7899.2	4346.4	6644.2	4035.6	5173.4	5764.5	5169	6941	5474.9	5394.4	6133.2	4339.5	5566.2	4961.9	5314.9	4866.8	6553.9	6626.1
2-Decanone																2054.4	1449.8	1607.3	4671.6	3146.6	1829.7	1660.8	2429.4	1581	3840																				
Methyl salicylate								4305.3	4267.8	3176.7								3774.3	8695.1	5356.2			73184.1	6626.9	5670.8								2619.6	2346.5	2398.7	1889.5	1246.6	3629.2	3416.7	3195.2		1218.8	11594	3981.7	3044.2
Dodecane 	53990.5	46006.2	56407.6	52293.3	41570.2	39145.2	36904.7	50592.7	41569.6	47401.3	29030.6	24520	24490.5	31656	29070.8	27727.3	32639.1	33283.7	38978.6	29969.5	53147.9	62380.2	69337.4	49489.6	62961.2	24360	26612.0	50203.6	22394.7	25937.7	34022.3	34261.7	30668.8	44666.1	33030.3	43396.1	53118.6	46879.6	40529.2	47489.3	54521.5	48831.7	44805.3	55187.8	52483.1
1-Ethyl-4-isobutylbenzene																																													
Decanal	6877.7	14724.9	8700.7	13261.6	14822.5	9066.5	16288	23983.1	27067.3	23545.8	22687.4	12665.9	17611.6	23636.9	13106.1	7256.6	27881.0	20498.1	26254	26427.2	7571	11140.9	23753.8	30424.9	34489.7	11326.9	12890.3		52827	30629.3	14008.3	14722.2	36613.1	50942.2	25011.6	16483.2	16053.6	25792.6	27178	29981.8	10241.5	11493.1	28895.9	37075.8	25903.5
1-Isobutyl-2,5-dimethylbenzene																																													
130	2260.1	1870.1	2014.5	2140.1	1907.3	1456	1560.4	1523.1	3267.5	1509.4	1131.9	1082.7	1067.1	1466	1021.8	1918.8	3124.3	2154.9	2996.4	2138.3	3094.3	3459.1	4701.2	4032.2	4125.3	4595.6	5617.9		23277.2	12926.6	1806.8	4671.2	3781.1	5180.5	2078.3	4809.5	2694.9	2751.6	2301.9	2929.1	1993.7	2343.9	4260.9	3041.1	2314.6
Dimethyl tetrasulfide	11908.9	4165.9	12338.3	11142.2	19754.6	33764	43850.6	28685.9	30882.9	57071.3																										7135.7	22971.4	20265.3	16126.9	18372.3	10419.4	28121.8	10066	7911.5	3731.5
2-Phenoxyethanol							5464.3	6552	6531.7								2888.8	1631.5	5846.8	3548.4			3928.4	4724.8	4075.3																				
Benzothiazole	12715.9	10889.2	15732	12605.8	12381.6	11820.1	16453.8	15892.8	13551.7	12764.3	9327.1	8624.8	12488.7	10021.8	10043.3	10323	12622.9	10805.7	12730.7	10373.8	12367.4	11323.2	14273.9	16168.7	16539.5	15817.3	10540.0		13830	12867.9	13913.5	7587.6	9698.2	9485.7	10937.7	13845	11837.2	12376.8	10601.8	12803.6	11105.7	9947.0	12848.3	14886.4	12918.1
1-Phenyl-2-butanone	13739.9	10523.7	14461.4	10900.2	12612.7	9906.6	13568	11069.9	10966.2	10069.9	6609.9	3489.4	7465.2	6796	3913.1	13972	12586.8	13998.8	13467.5	13996	14862.4	14058.4	16943	17435	18943.5	26095.7	19710.7		27715.5	22153.6	9737.5	5711.9	8239.7	7731.3	7757	18596.5	12405.3	15916.3	9375.7	7439.8	13958.5	13229.3	16305.7	15770.7	14002.2
1,3-Di-tert-butylbenzene	5972.2	5622.5	5004.3	4716.4	5643.6	8388.7	9398.8	9445.9	7958.1	10481.8	3165	2569.1	4102.7	3741.9	2236.1	8240.9	9181.5	7872.3	8561.7	8086	12914.2	10952.1	11566	12122.1	13976.4	3564.8	4534.3		3523.2	3855.5	2928.3	5016.6	3801.4	3016.2	5016.6	14955.4	16209.6	15749	11269.2	13074.4	11197	12161.8	9980.6	11415.6	12776.3
Z-Cinnamaldehyde	8279.9	11489.6		9665.5	16508.8	6798.1	34734.1	61415.6	53109	143474.1	12655.4	5940.4	53413.1	23458.5	19476.2	15295	7079.8	68946.1	93999.6	80187.4	9087.1	6341.5	386589.2	85084	94667.3	35046.9	8754.8	24037.9	37233.7	94547.3	25491.5	5696.0	20576.1	21607.2	24677.1	13128.5	11021.9	77184.3	40247.3	57581.3	9683.4	9346.0	946431.7	114608.7	86660.5
Decanol	4684.6	5018.8	4850.6	4527.5	4616.1	2987.1	3527.9	4208.4	4900.6	4311	4517.2	2914.9	3343.5	4702.3	3866.9	5080.6	5391.8	5861.6	7353.9	5740.3	7229	7430.9	8288.2	7521.5	8832.7	2458.4	2359.3		2874.4	2871.2	4307.8	4138.6	4618.5	4856.7	3214.4	3957.6	5146.2	5321.5	4287.3	4604.9	4497	5415.3	4826.5	6131.8	5567.4
2-Undecanone 																47517.1	53444.9	49695.5	54717.7	56253.4	29420.1	28812.7	31622.7	32595.9	35283.2																				
2-Methylnaphthalene																1453	1432.1		1932.3	1614.4	1724	1048.7	1273	1880.3	2698.7																				
Tridecane	21719.4	19071.5	42309.6	19126.1	20518.3	6921.8	6767.7	37598.6	10159.5	8914.4	6441.5	4863.9	5109.6	6573.6	7132.4	7983.2	7889.7	9015.1	14169.1	9709.8	10103	10349.5	11601.7	10131.8	12029.7	4438.5	6601.3	63196.6	7679.6	7662.4	5499.1	5651.0	5346.7	9279.9	5602.5	7019.1	10240.9	8114.2	7842.4	7682.2	11113.3	10729.8	9197.1	11054.9	9233
538	19670.2	14867.2	17607.7	14005.4	13088.9	9190.4	8580.5	12896.5	13549.4	11891	13562.9	10779.9	10123.6	12271.7	11405.3	14880.8	16753.3	18875.9	24882.3	16697.6	17854.6	17470.1	23091.3	19157.4	22670.4	7779.7	8321.8	13198.5	9873.1	8290.9	13306.5	11274.4	9487.7	15635.2	8675.8	10125	15746.9	12617	10228.7	12395.6	13055.2	17079.5	11264.1	13442.6	16056.5
Undecanal 	1830.2	2010.4	2734.8	1781.8	1862.6	1396.3	1486.6	2159.5	2276.7	2293.1	1873.2	1314.8	1351.2	1796.2	1397.6	1691.5	2357.4	1973.2	1891.9	2086	2918.9	2560.8	3183.8	2990.6	3279.1	1128.9			2250.3	1357.1	1589.3	1532.9	1429.5	2019.2	1170.2	1514.8	2275.0	1975.3	1621.1	1624	1591.6	1924.2	2145.7	2768	2822.8
524	17818	19020	19503.6	18457.4	14077.3	8594.6	8680.2	7250.2	8971.1	11008.5	15420.9	9832.5	9593.2	11840.9	11468.7	15510.9	18346.1	23344.9	30679.3	20479.8	21350.1	22940.2	27858.2	21327.2	27589	6382.6	7515.5	14558.5	9135.9	5988.9	12968.3	12493.5	8998.9	12745.2	8076.7	9360.9	15706.1	13684.1	9758.7	10730	9452.2	16401.4	12075.7	13814.8	18766.3
1,2,3,4-Tetrahydro-2,6-dimethylnaphthalene																																													
